𫝀,nhgd,
𫝁,gkjk,
𫝂,guth,
𫝃,gumw,
𫝄,twi,
𫝅,ycwu,
𫝆,wgdr,
𫝇,wgkh,
𫝈,wplh,
𫝉,wgvk,
𫝊,wgmf,
𫝋,wjcu,
𫝌,jsgw,
𫝍,muhd,
𫝎,uhqn,
𫝏,uute,
𫝐,ujjj,
𫝑,fufl,
𫝒,hjfj,
𫝓,fliy,
𫝔,fjfq,
𫝕,dnei,
𫝖,qdno,
𫝗,drbd,
𫝘,kdnn,
𫝙,tmkh,
𫝚,klfc,
𫝛,shmk,
𫝜,kvsy,
𫝝,jdnt,
𫝞,kfcl,
𫝟,fyjf,
𫝠,fseg,
𫝡,bdef,
𫝢,qfyy,
𫝣,qfhy,
𫝤,udgd,
𫝥,ugde,
𫝦,vmy,
𫝧,vmnn,
𫝨,vplh,
𫝩,vdtf,
𫝪,vamy,
𫝫,vgoy,
𫝬,vkhm,
𫝭,vmmv,
𫝮,vugi,
𫝯,vgnb,wfgb
𫝰,pqjn,
𫝱,pnts,
𫝲,nvyi,
𫝳,mxn,
𫝴,mrgk,
𫝵,mdtf,
𫝶,ykwf,
𫝷,ykcf,
𫝸,uttw,
𫝹,wfnu,
𫝺,renn,
𫝻,rlkg,
𫝼,rwfq,
𫝽,rwhe,
𫝾,rswt,
𫝿,rujh,
𫞀,yctd,
𫞁,yugd,
𫞂,jgyy,
𫞃,jukg,
𫞄,gwwj,
𫞅,evfy,
𫞆,ektd,
𫞇,eimh,
𫞈,svyg,
𫞉,sgkj,
𫞊,sryn,
𫞋,stuh,
𫞌,swnc,
𫞍,sseg,
𫞎,sdek,
𫞏,sdjk,
𫞐,sawy,
𫞑,sidd,
𫞒,sdsj,
𫞓,htft,
𫞔,gqfg,
𫞕,qayi,
𫞖,nayi,
𫞗,iuyy,
𫞘,ituh,
𫞙,iawy,
𫞚,iuqm,
𫞛,iyfj,
𫞜,iofy,
𫞝,iuuw,
𫞞,iajy,
𫞟,utno,
𫞠,ovoy,
𫞡,oaps,
𫞢,iprh,
𫞣,qtgt,
𫞤,qtfe,
𫞥,gmy,
𫞦,gyjh,
𫞧,gapl,
𫞨,gjtl,
𫞩,gagw,
𫞪,adqn,
𫞫,lyeu,
𫞬,ucfd,
𫞭,umft,
𫞮,rqkg,
𫞯,eylf,
𫞰,eqlf,
𫞱,fckl,
𫞲,xhdu,
𫞳,htah,
𫞴,qryi,
𫞵,pypg,
𫞶,pyro,
𫞷,twfc,
𫞸,tgji,
𫞹,pwnf,
𫞺,pwek,
𫞻,ush,
𫞼,udhf,
𫞽,tfje,
𫞾,tlxx,
𫞿,tuvs,
𫟀,ofvg,
𫟁,xinc,
𫟂,xpfu,
𫟃,xwtf,
𫟄,xpdc,
𫟅,xyiy,
𫟆,xtgf,
𫟇,xyne,
𫟈,udyu,
𫟉,bcy,
𫟊,eyah,
𫟋,vgnw,wfgw
𫟌,aqhu,
𫟍,aqxb,
𫟎,aagq,
𫟏,atky,
𫟐,apyb,
𫟑,avou,
𫟒,aasu,
𫟓,awek,
𫟔,aubw,
𫟕,aujb,
𫟖,adnt,
𫟗,jpwi,
𫟘,tnhh,
𫟙,tgkh,
𫟚,tgje,
𫟛,sjfj,
𫟜,ajwq,
𫟝,yyje,
𫟞,yhg,
𫟟,yufh,
𫟠,yujf,
𫟡,ypfi,
𫟢,ysmy,
𫟣,khfe,
𫟤,lpxn,
𫟥,lfhw,
𫟦,luep,
𫟧,spk,
𫟨,fyep,
𫟩,udbp,
𫟪,rpwp,
𫟫,ddnb,
𫟬,rfmb,
𫟭,ptkb,
𫟮,sgtc,
𫟯,yjff,
𫟰,qivg,
𫟱,qfjf,
𫟲,qvn,
𫟳,qnn,
𫟴,qwvn,
𫟵,qcqn,
𫟶,qmmg,
𫟷,qug,
𫟸,qaag,
𫟹,qawy,
𫟺,qynw,
𫟻,qyth,
𫟼,qdpy,
𫟽,qtfx,
𫟾,qtgg,
𫟿,quda,
𫠀,qdaj,
𫠁,qafl,
𫠂,uwyc,
𫠃,bjog,
𫠄,nhgw,
𫠅,fnhf,
𫠆,fcdm,
𫠇,mqyi,
𫠈,mqnt,
𫠉,ghfg,
𫠊,cyxy,
𫠋,cynx,
𫠌,csfj,
𫠍,qoqf,
𫠎,qosm,
𫠏,qgsy,
𫠐,qgaf,
𫠑,qgvc,
𫠒,qguj,
𫠓,wvgg,
𫠔,qxwo,
𫠕,ywyo,
𫠖,dcqg,
𫠗,hlqw,
𫠘,imfm,
𫠙,hbmc,hwwc
𫠚,hobk,
𫠛,hbjg,hwwg
𫠜,hwbq,
𫠝,imkn,
