文字,编码,IDS
𮯰,gjgd,㇯亜口
𮯱,etny,㇯舟丿
𮯲,rnv,⿻乚⿱𠂉一
𮯳,yooo,⿱亠焱
𮯴,wqn,⿰亻儿
𮯵,wdnn,⿰亻万
𮯶,wnn,⿰亻己
𮯷,wcyy,⿰亻叉
𮯸,wdln,⿰亻历
𮯹,wmcy,⿰亻凤
𮯺,wagn,⿰亻巧
𮯻,wcfg,⿰亻圣
𮯼,wsoy,⿰亻杰
𮯽,wjgd,⿰亻昊
𮯾,wbib,⿰亻函
𮯿,wgee,⿱亼朋
𮰀,wdff,⿰亻奎
𮰁,wtjt,⿰亻复
𮰂,wgki,⿱合承
𮰃,tyfb,⿱入地
𮰄,pdxb,⿱冖龙
𮰅,pwss,⿳冖八林
𮰆,uxn,⿰冫弓
𮰇,urgh,⿰冫捷
𮰈,uaft,⿰冫菱
𮰉,ucmb,⿱冯几
𮰊,fomn,⿰赤几
𮰋,xrxm,⿱⿲幺白幺几
𮰌,dejh,⿰有刂
𮰍,diln,⿰耒力
𮰎,lham,⿰力虎
𮰏,fvqb,⿱十兒
𮰐,fhxq,⿰十⿱此金
𮰑,divd,⿸厂当
𮰒,dwwv,⿸厂𡠓
𮰓,cnwy,⿰又夬
𮰔,kfnh,⿰口韦
𮰕,tfkb,⿰告予
𮰖,kujy,⿰口闽
𮰗,kjym,⿰口颢
𮰘,ltkd,⿴囗各
𮰙,fnv,⿺𠃊土
𮰚,fcyy,⿰土叉
𮰛,fwfg,⿰土仁
𮰜,fubh,⿰土⿱丷了
𮰝,svff,⿱朹土
𮰞,fqkg,⿰土名
𮰟,yoff,⿱亦土
𮰠,inrf,⿱汤土
𮰡,iwff,⿱兴土
𮰢,fgty,⿰土麦
𮰣,fyff,⿱坊土
𮰤,fhdy,⿰土⿱目大
𮰥,fqmd,⿰土奂
𮰦,fdwd,⿰土奏
𮰧,fjug,⿰土昱
𮰨,fhjs,⿰土桌
𮰩,faya,⿰土匾
𮰪,fqrq,⿰土兜
𮰫,fydn,⿰土庵
𮰬,fjey,⿰土𧰮
𮰭,fadn,⿰土菴
𮰮,fmae,⿰土農
𮰯,fajl,⿰土蒀
𮰰,faj,⿱士廾
𮰱,fkft,⿰吉才
𮰲,fiqb,⿱士兆
𮰳,gogt,⿰晋夋
𮰴,idu,⿱㇯兴八大
𮰵,dfkf,⿱大吉
𮰶,uogd,⿱並大
𮰷,vgnn,⿰女丂
𮰸,vyqy,⿰女义
𮰹,vgbn,⿰女屯
𮰺,vqbh,⿰女卬
𮰻,vmcy,⿰女凤
𮰼,givf,⿱不女
𮰽,vqiy,⿰女乐
𮰾,vufg,⿰女兰
𮰿,vguw,⿰女夹
𮱀,vtfh,⿰女行
𮱁,vnyu,⿰女尽
𮱂,nvf,⿱羽女
𮱃,vlkg,⿰女回
𮱄,vlfq,⿰女园
𮱅,vvf,⿱𦥑女
𮱆,vuyy,⿰女闵
𮱇,vlpy,⿰女连
𮱈,vgny,⿰女⿱王心
𮱉,vdyn,⿰女态
𮱊,vlqy,⿰女罗
𮱋,vqde,⿰女肴
𮱌,oovf,⿱炏女
𮱍,vvcb,⿰女即
𮱎,vdjb,⿰女厚
𮱏,vqvn,⿰女急
𮱐,vyox,⿰女弯
𮱑,dhqv,⿱艳女
𮱒,vqye,⿰女袅
𮱓,vybc,⿰女离
𮱔,vagw,⿰女𬜯
𮱕,vapy,⿰女莹
𮱖,vssq,⿰女梦
𮱗,vjde,⿰女晨
𮱘,vujf,⿰女童
𮱙,vgeh,⿰女静
𮱚,vhal,⿰女盧
𮱛,vfkk,⿰女露
𮱜,ysbf,⿱丶李
𮱝,bthn,⿰子息
𮱞,pdnb,⿱宀尢
𮱟,pyu,⿱宀文
𮱠,pwyk,⿱宀𮥼
𮱡,ibf,⿱小子
𮱢,idf,⿱小石
𮱣,gqkm,⿺兀貴
𮱤,mwbb,⿱山仓
𮱥,mvff,⿱山𭃂
𮱦,mmcu,⿱山凤
𮱧,mwau,⿱山代
𮱨,mbf,⿱山耳
𮱩,mplj,⿱山军
𮱪,mwai,⿱山㑈
𮱫,mrgw,⿱山兵
𮱬,mqtd,⿱山犾
𮱭,mmwc,⿱山岭
𮱮,mwgb,⿱山命
𮱯,mujf,⿰山单
𮱰,mssh,⿰山楚
𮱱,mmdo,⿱山鳳
𮱲,myjf,⿱山齊
𮱳,wxmh,⿱化巾
𮱴,xqcy,⿰弓勾
𮱵,xtdj,⿰弓乔
𮱶,xwgg,⿰弓全
𮱷,xpvg,⿰弓安
𮱸,xxyy,⿰弜文
𮱹,mmge,⿰册彡
𮱺,ttbn,⿰彳㐌
𮱻,tcfg,⿰彳圣
𮱼,tmgh,⿰彳𫥞
𮱽,tlny,⿰彳思
𮱾,tggn,⿰彳琴
𮱿,nqyy,⿰忄久
𮲀,nmy,⿰忄贝
𮲁,nmqn,⿰忄见
𮲂,nmqy,⿰忄风
𮲃,nqiy,⿰忄乐
𮲄,fcln,⿱动心
𮲅,nhmy,⿰忄贞
𮲆,gehn,⿱甫心
𮲇,nlgy,⿰忄国
𮲈,nyvb,⿰忄郎
𮲉,nnhg,⿰忄眉
𮲊,nfke,⿰忄袁
𮲋,nwye,⿰忄隽
𮲌,djfa,⿰厘戈
𮲍,dakf,⿹⿽戓大土
𮲎,ddmt,⿵戊面
𮲏,rgah,⿰扌开
𮲐,rvyc,⿱执云
𮲑,rqkn,⿰扌𬺞
𮲒,ynkr,⿱啟手
𮲓,mty,⿰由夂
𮲔,mnty,⿰岂夂
𮲕,ylty,⿰亩夂
𮲖,lyu,⿱罒文
𮲗,jjyu,⿱昍文
𮲘,yjrh,⿰方昕
𮲙,yqg,⿰方金
𮲚,jdnn,⿰日万
𮲛,jyqy,⿰日义
𮲜,jat,⿰日戈
𮲝,jtdy,⿰日夭
𮲞,jsgf,⿱日本
𮲟,jdmy,⿰日页
𮲠,jpgf,⿰日宇
𮲡,jawu,⿱日共
𮲢,jyeu,⿱日衣
𮲣,jmyy,⿰日㞵
𮲤,jqf,⿱日金
𮲥,jyps,⿰日亭
𮲦,jvhc,⿰日叟
𮲧,jmth,⿰日峯
𮲨,jprw,⿰日宾
𮲩,japy,⿰日莹
